pokedex_number,name,japanese_name,type1,type2,abilities,hp,attack,defense,sp_attack,sp_defense,speed,base_total,classfication,generation,is_legendary,experience_growth,capture_rate,base_egg_steps,base_happiness,height_m,percentage_male,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
1,Bulbasaur,Fushigidaneフシギダネ,grass,poison,"['Overgrow', 'Chlorophyll']",45,49,49,65,65,45,318,Seed Pokémon,1,0,1059860,45,5120,70,0.7,88.1,6.9,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
2,Ivysaur,Fushigisouフシギソウ,grass,poison,"['Overgrow', 'Chlorophyll']",60,62,63,80,80,60,405,Seed Pokémon,1,0,1059860,45,5120,70,1,88.1,13,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
3,Venusaur,Fushigibanaフシギバナ,grass,poison,"['Overgrow', 'Chlorophyll']",80,100,123,122,120,80,625,Seed Pokémon,1,0,1059860,45,5120,70,2,88.1,100,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
4,Charmander,Hitokageヒトカゲ,fire,,"['Blaze', 'Solar Power']",39,52,43,60,50,65,309,Lizard Pokémon,1,0,1059860,45,5120,70,0.6,88.1,8.5,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
5,Charmeleon,Lizardoリザード,fire,,"['Blaze', 'Solar Power']",58,64,58,80,65,80,405,Flame Pokémon,1,0,1059860,45,5120,70,1.1,88.1,19,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
6,Charizard,Lizardonリザードン,fire,flying,"['Blaze', 'Solar Power']",78,104,78,159,115,100,634,Flame Pokémon,1,0,1059860,45,5120,70,1.7,88.1,90.5,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
7,Squirtle,Zenigameゼニガメ,water,,"['Torrent', 'Rain Dish']",44,48,65,50,64,43,314,Tiny Turtle Pokémon,1,0,1059860,45,5120,70,0.5,88.1,9,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
8,Wartortle,Kameilカメール,water,,"['Torrent', 'Rain Dish']",59,63,80,65,80,58,405,Turtle Pokémon,1,0,1059860,45,5120,70,1,88.1,22.5,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
9,Blastoise,Kamexカメックス,water,,"['Torrent', 'Rain Dish']",79,103,120,135,115,78,630,Shellfish Pokémon,1,0,1059860,45,5120,70,1.6,88.1,85.5,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
10,Caterpie,Caterpieキャタピー,bug,,"['Shield Dust', 'Run Away']",45,30,35,20,20,45,195,Worm Pokémon,1,0,1000000,255,3840,70,0.3,50,2.9,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
11,Metapod,Transelトランセル,bug,,['Shed Skin'],50,20,55,25,25,30,205,Cocoon Pokémon,1,0,1000000,120,3840,70,0.7,50,9.9,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
12,Butterfree,Butterfreeバタフリー,bug,flying,"['Compoundeyes', 'Tinted Lens']",60,45,50,90,80,70,395,Butterfly Pokémon,1,0,1000000,45,3840,70,1.1,50,32,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
13,Weedle,Beedleビードル,bug,poison,"['Shield Dust', 'Run Away']",40,35,30,20,20,50,195,Hairy Pokémon,1,0,1000000,255,3840,70,0.3,50,3.2,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
14,Kakuna,Cocoonコクーン,bug,poison,['Shed Skin'],45,25,50,25,25,35,205,Cocoon Pokémon,1,0,1000000,120,3840,70,0.6,50,10,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
15,Beedrill,Spearスピアー,bug,poison,"['Swarm', 'Sniper']",65,150,40,15,80,145,495,Poison Bee Pokémon,1,0,1000000,45,3840,70,1,50,29.5,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
16,Pidgey,Poppoポッポ,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",40,45,40,35,35,56,251,Tiny Bird Pokémon,1,0,1059860,255,3840,70,0.3,50,1.8,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
17,Pidgeotto,Pigeonピジョン,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",63,60,55,50,50,71,349,Bird Pokémon,1,0,1059860,120,3840,70,1.1,50,30,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
18,Pidgeot,Pigeotピジョット,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",83,80,80,135,80,121,579,Bird Pokémon,1,0,1059860,45,3840,70,1.5,50,39.5,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
19,Rattata,Korattaコラッタ,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",30,56,35,25,35,72,253,Mouse Pokémon,1,0,1000000,255,3840,70,,50,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
20,Raticate,Rattaラッタ,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",75,71,70,40,80,77,413,Mouse Pokémon,1,0,1000000,127,3840,70,,50,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
21,Spearow,Onisuzumeオニスズメ,normal,flying,"['Keen Eye', 'Sniper']",40,60,30,31,31,70,262,Tiny Bird Pokémon,1,0,1000000,255,3840,70,0.3,50,2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
22,Fearow,Onidrillオニドリル,normal,flying,"['Keen Eye', 'Sniper']",65,90,65,61,61,100,442,Beak Pokémon,1,0,1000000,90,3840,70,1.2,50,38,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
23,Ekans,Arboアーボ,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,288,Snake Pokémon,1,0,1000000,255,5120,70,2,50,6.9,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
24,Arbok,Arbokアーボック,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80,448,Cobra Pokémon,1,0,1000000,90,5120,70,3.5,50,65,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
